装備ID,装備名,開発日時,燃料,弾薬,鋼材,ボーキ,旗艦ID,旗艦名,旗艦艦種,司令部Lv
37,7.7mm機銃,2015/12/02 08:23:32,20,20,250,250,277,赤城改,11,107
-1,(失敗),2015/12/02 08:23:41,20,20,250,250,277,赤城改,11,107
11,15.2cm単装砲,2015/12/10 11:29:45,10,251,250,30,275,長門改,9,107
-1,(失敗),2015/12/10 11:31:37,10,251,250,30,275,長門改,9,107
6,20.3cm連装砲,2015/12/10 11:31:49,10,251,250,30,275,長門改,9,107
8,41cm連装砲,2015/12/10 11:31:59,10,251,250,30,275,長門改,9,107
38,12.7mm単装機銃,2015/12/11 08:13:54,10,251,250,30,275,長門改,9,107
7,35.6cm連装砲,2015/12/11 08:16:50,10,251,250,30,275,長門改,9,107
16,九七式艦攻,2015/12/11 08:17:44,10,251,250,30,275,長門改,9,107
12,15.5cm三連装副砲,2015/12/11 08:18:04,10,251,250,30,275,長門改,9,107
6,20.3cm連装砲,2015/12/12 16:37:20,10,251,250,30,275,長門改,9,107
8,41cm連装砲,2015/12/12 16:40:27,10,251,250,30,275,長門改,9,107
39,25mm連装機銃,2015/12/12 16:40:47,10,251,250,30,275,長門改,9,107
7,35.6cm連装砲,2015/12/12 16:41:05,10,251,250,30,275,長門改,9,107
7,35.6cm連装砲,2015/12/15 13:36:02,10,251,250,30,275,長門改,9,107
10,12.7cm連装高角砲,2015/12/15 13:37:33,10,251,250,30,275,長門改,9,107
-1,(失敗),2015/12/15 13:37:43,10,251,250,30,275,長門改,9,107
16,九七式艦攻,2015/12/15 13:37:53,10,251,250,30,275,長門改,9,107
35,三式弾,2015/12/16 14:36:13,10,251,250,30,275,長門改,9,107
8,41cm連装砲,2015/12/16 14:36:53,10,251,250,10,275,長門改,9,107
-1,(失敗),2015/12/16 14:37:01,10,251,250,10,275,長門改,9,107
6,20.3cm連装砲,2015/12/16 14:37:12,10,251,250,10,275,長門改,9,107
38,12.7mm単装機銃,2015/12/17 08:23:14,10,251,250,10,275,長門改,9,107
14,61cm四連装魚雷,2015/12/17 08:26:03,10,251,250,10,275,長門改,9,107
11,15.2cm単装砲,2015/12/17 08:26:14,10,251,250,10,275,長門改,9,107
-1,(失敗),2015/12/17 08:26:24,10,251,250,10,275,長門改,9,107
14,61cm四連装魚雷,2015/12/18 11:56:10,10,251,250,10,187,明石改,19,108
7,35.6cm連装砲,2015/12/18 11:58:20,10,251,250,10,275,長門改,9,108
8,41cm連装砲,2015/12/18 11:58:29,10,251,250,10,275,長門改,9,108
10,12.7cm連装高角砲,2015/12/18 11:58:38,10,251,250,10,275,長門改,9,108
37,7.7mm機銃,2015/12/21 12:25:47,20,20,250,250,277,赤城改,11,108
37,7.7mm機銃,2015/12/21 12:27:46,20,20,250,250,277,赤城改,11,108
25,零式水上偵察機,2015/12/21 12:27:55,20,20,250,250,277,赤城改,11,108
-1,(失敗),2015/12/21 12:28:26,20,20,250,250,277,赤城改,11,108
-1,(失敗),2015/12/22 13:29:21,20,20,250,250,277,赤城改,11,108
37,7.7mm機銃,2015/12/22 13:31:36,20,20,250,250,277,赤城改,11,108
-1,(失敗),2015/12/22 13:31:45,20,20,250,250,277,赤城改,11,108
39,25mm連装機銃,2015/12/22 13:31:55,20,20,250,250,277,赤城改,11,108
13,61cm三連装魚雷,2015/12/23 14:56:20,10,251,250,10,275,長門改,9,108
-1,(失敗),2015/12/23 14:57:50,10,251,250,10,275,長門改,9,108
14,61cm四連装魚雷,2015/12/23 14:58:00,10,251,250,10,275,長門改,9,108
37,7.7mm機銃,2015/12/23 14:58:10,10,251,250,10,275,長門改,9,108
-1,(失敗),2015/12/24 08:45:04,20,20,250,250,277,赤城改,11,108
-1,(失敗),2015/12/24 08:46:38,20,20,250,250,277,赤城改,11,108
-1,(失敗),2015/12/24 08:46:51,20,20,250,250,277,赤城改,11,108
20,零式艦戦21型,2015/12/24 08:47:02,20,20,250,250,277,赤城改,11,108
25,零式水上偵察機,2015/12/25 10:45:47,20,20,250,250,277,赤城改,11,108
-1,(失敗),2015/12/25 10:48:26,20,20,250,250,277,赤城改,11,108
-1,(失敗),2015/12/25 10:48:36,20,20,250,250,277,赤城改,11,108
32,14号対空電探,2015/12/25 10:48:47,20,20,250,250,277,赤城改,11,108
72,増設バルジ(中型艦),2015/12/27 11:40:04,10,11,251,250,275,長門改,9,108
-1,(失敗),2015/12/27 11:42:11,10,11,251,250,275,長門改,9,108
-1,(失敗),2015/12/27 11:42:22,10,11,251,250,275,長門改,9,108
-1,(失敗),2015/12/27 11:42:32,10,11,251,250,275,長門改,9,108
-1,(失敗),2015/12/28 08:36:53,10,11,251,250,275,長門改,9,108
3,10cm連装高角砲,2015/12/28 08:38:30,10,11,251,250,275,長門改,9,108
-1,(失敗),2015/12/28 08:38:39,10,11,251,250,275,長門改,9,108
29,33号対水上電探,2015/12/28 08:38:51,10,11,251,250,275,長門改,9,108
